i,j,cost,travel_time
9,150, 1.08 , 3.00 
10,150, 1.03 , 3.00 
11,150, 1.96 , 5.67 
12,150, 1.36 , 4.00 
13,150, 1.64 , 4.67 
14,150, 0.54 , 1.67 
15,150, 0.20 , 0.67 
16,150, 0.61 , 2.00 
17,150, 1.36 , 4.00 
18,150, 1.59 , 4.67 
19,150, 1.64 , 4.67 
20,150, 1.91 , 5.33 
21,150, 0.96 , 2.67 
22,150, 0.70 , 2.00 
23,150, 1.80 , 5.00 
24,150, 2.00 , 5.67 
25,150, 1.92 , 5.33 
